instance,init,BK,001,001_min,002,002_min,003,003_min,004,004_min,005,005_min,006,006_min,007,007_min,008,008_min,009,009_min,010,010_min,011,011_min,012,012_min,013,013_min,014,014_min,015,015_min,016,016_min,66,66_min
x_1,7422426760,3030246091,3856763580.4,3771716128,3349745136.8,3279153866,3472219280.0,3448030148,3278360393.6,3230152050,3281695938.2,3233831025,3456175350.0,3404151002,3213800344.6,3165333814,3194447784.4,3167252338,3152302236.8,3131414397,3149822531.8,3108868651,3142152623.0,3110022933,3350692262.0,3261846060,3287592333.6,3225107801,3340065698.4,3287572263,3370690884.2,3321382018,3341978152.8,3274980616,0.0,0
x_2,5103634830,1010050981,1119838554.0,1095440595,1167409316.8,1131725483,1109340450.8,1081215934,1095374795.4,1083201323,1091396203.6,1082563974,1170510807.6,1154515822,1069761593.4,1059853037,1055077808.6,1045548150,1071691970.4,1062884909,1110639921.6,1091529482,1139975409.4,1120147317,1150244186.2,1134063623,1344611837.6,1298396383,1606793577.8,1539057282,1821275004.6,1749288497,1936886304.4,1882299455,0.0,0
x_3,6119933380,259656,59331747.8,51658479,16215569.2,14918680,28548049.0,18020310,13141546.0,12486779,13145595.8,12489659,15297492.0,14829550,10974536.8,9968396,15998614.0,9759556,26032099.8,11180390,32965345.8,18897109,44035832.0,22246723,14003563.4,11477268,61910017.6,46719695,180457587.6,153085328,292228328.0,264290932,423031887.4,382002724,0.0,0
x_4,9207188610,4721727496,4722084823.8,4721997963,4723077218.8,4722496198,4724418969.6,4722647562,4723547397.2,4722415364,4723555639.4,4722415364,4726296419.8,4725892381,4722267124.2,4722170605,4722505539.6,4722123599,4723107259.8,4722252413,4725060333.2,4724183226,4725693689.6,4724068572,4726448177.6,4725192426,4755862520.0,4750489112,4828167692.8,4806650748,4940681440.8,4924044351,5002095368.8,4949252257,0.0,0
x_5,12369526590,144768,12848404.6,10546679,15056809.2,12132739,12041547.2,8903047,9884556.2,8329866,9855036.8,8084076,14066975.2,11401486,1671148.8,710236,705813.6,405345,1680570.8,850965,7321467.4,6019269,11364880.6,9168704,2627552.6,1664152,9254925.6,6853810,14969114.8,12388494,41546976.4,20868622,106352740.6,72883965,0.0,0
x_6,12753566360,9546958474,9546982609.8,9546977085,9547005490.6,9546996621,9546998577.4,9546991084,9546995235.0,9546989981,9546995035.2,9546989981,9547054008.8,9547037051,9546985369.8,9546979203,9546970519.0,9546966861,9546963535.2,9546960784,9546961639.2,9546960438,9546959635.0,9546957631,9547095809.4,9547084090,9547259436.4,9547238640,9547378269.8,9547344777,9547463313.0,9547437749,9547614892.0,9547585516,0.0,0
x_7,37763791230,14253133805,16195667879.4,16058671701,14963386348.8,14937506942,14935565648.0,14877944123,14816501045.2,14782111495,14814274535.6,14781942201,14944202389.8,14835721783,14694420037.4,14656605498,14618689766.0,14586292907,14578708700.4,14559436429,14582393064.8,14536784939,14585487348.0,14551145195,15342922920.0,15302608802,16494068163.0,16436324814,17475523900.2,17356626588,18272376358.2,18223625104,18845232272.8,18733120913,0.0,0
x_8,11611565600,83711,647207.4,586392,211436.0,169610,288663.0,238529,118511.6,104873,118794.0,104452,170490.8,138103,75076.4,70040,63136.4,58693,58411.4,55397,60228.6,53355,61705.2,55802,93078.6,84766,95830.4,86463,155296.4,141008,238843.4,215147,365710.6,332521,0.0,0
x_9,23146106380,16125675266,16126452996.4,16126179042,16131628011.0,16127258630,16128427477.6,16126587998,16129441430.0,16126990883,16129666874.6,16127815512,16135323310.8,16127037252,16126999044.2,16126108450,16127250556.6,16126085844,16126875227.6,16126469426,16128500110.6,16127399934,16132500226.0,16130592800,16159154044.2,16146744545,16317755964.4,16274636448,16780570997.6,16719393813,17074692763.6,17007331419,17258735132.6,17067419107,0.0,0
x_10,42201640770,17815045320,19558780752.0,19446974224,18334680623.0,18297551236,18323653096.0,18272120477,18200270190.0,18180455338,18207309336.0,18165332792,18301896135.0,18277921985,18078938741.2,18051268843,18011777713.8,17999557880,17947095122.0,17913850167,17922869590.0,17901948805,17893135196.6,17878018414,18287067307.2,18233648181,18814481728.6,18739232484,19577736392.2,19535787548,20186562686.0,20096086691,20851126427.8,20801276855,0.0,0
